ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Add columns here,Add columns here,Reviewer,Review
43-1,19/02/2023 22:40:35,https://twitter.com/Wisely2022/status/1549673668929679361,43,"Dy, Timothy",MRCS,BBM Oxford Grad,"BBM, graduate, Oxford",@Wisely2022,Vince Young,Student of Psychohistory and Citizen of the Galactic Empire,Anonymous,12/21,462,379,Republic of the Philippines,"There are thousands of Oxford graduates.
BBM is one of them. You can dispute that if you want.

But there have been only 17 Presidents of the Philippines.

So go ahead and keep obsessing about whether he really was an Oxford grad or not, he’ll still always be the 17th PH Prez 😜",,"Text, Reply",22/07/2022 16:30,,Emotional,29,15,1,0,,,Oxford claims he did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-2,20/02/2023 20:54:00,https://twitter.com/esq_pinoy/status/1600329471088738305?s=20,43,"Reyes, Victor",MRCS,BBM Oxford Grad,bbm oxford,@esq_pinoy,Proud Pinoy,Truth matters most to me!,Anonymous,10/22,8,2,,"If a Special Diploma is NOT course of higher education leading to a Master's degree, Why is then that University of Pennsylvania-Wharton School of Economics accepted BBM for an MBA?",,Text,07/12/2022 11:20,,,0,1,0,0,,,"It remains unclear as to how Bongbong Marcos go into Wharton without an undergraduate degree. However, evidence shows that he did not finish his studies in the aforementioned school. https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharton",,,,,,
43-3,20/02/2023 21:18:00,"https://twitter.com/CLoveadore/status/1544370967463415813?s=20
",43,"Reyes, Victor",MRCS,BBM Oxford Grad,bbm oxford,@CLoveadore,malditang lola,Karma is a bitch when it hits you back. Defender of the truth. Don’t like corrupt politicians who use their power for their own agenda❤️💚Bbm Sara loyalist,Anonymous,06/19,1129,699,,Tsismiss walang  college degree si Pres Marcos . Facts: Oxford University confirmed Pres Bbm completed a degree in Social Studies. Also he was accepted at Wharton University to pursue his Master’s Degree.,Pres. Marcos not having a college degree is hearsay . Facts: Oxford University confirmed Pres Bbm completed a degree in Social Studies. Also he was accepted at Wharton University to pursue his Master’s Degree.,Text,06/07/2022 01:21,,Rational,66,1,18,0,,,Oxford claims he did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-4,20/02/2023 21:21:00,https://twitter.com/kekemhur/status/1548671909667418112?s=20,43,"Reyes, Victor",MRCS,BBM Oxford Grad,bbm wharton,@kekemhur,Kev 💜🖤🇵🇭🏳️‍🌈📷✈️🐶,"I am nobody. Just a regular guy. I love to cook, I workout regularly and am an introvert.",Anonymous,03/10,631,563,"National Capital Region, Republic of the Philippines",1st of all si BBM may diploma sa Oxford and may Masteral sa Wharton. If you are smart enough alam mo na you can't get a Masteral without an undergraduate diploma. Unless you are calling Wharton & Oxford a fraud. Nakakahiya naman sa reputation nya compared sa troll like you.,1st of all BBM has a diploma from Oxford and a Masteral from Wharton. If you are smart enough you'd already know that you can't get a Masteral without an undergraduate diploma. Unless you are calling Wharton & Oxford a fraud. It's a smear on his reputation compared to a troll like you.,Text,17/07/2022 22:12,,,118,3,5,2,,,Oxford claims he did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-5,20/02/2023 21:21:00,https://twitter.com/theadtan/status/1567102352641110017?s=20,43,"Reyes, Victor",MRCS,BBM Oxford Grad,bbm wharton,@theadtan,Thea Tan,Entrepreneur | Essentialism l Travel l Spirituality | Politics | 80/20 🇵🇭🇺🇲,Identified,01/22,565,34675,,"UP TO NOW, nobody from the naysayers has used their common sense to explain why BBM got admitted to Wharton when he allegedly didn't finish college from Oxford. 

Anyone?",,Text,06/09/2022 18:48,,,628,,97,15,,,"It remains unclear as to how Bongbong Marcos go into Wharton without an undergraduate degree. However, evidence shows that he did not finish his studies in the aforementioned school. https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharton",,,,,,
43-6,20/02/2023 21:23:00,https://twitter.com/GradoMean/status/1498629035517419526?s=20,43,"Reyes, Victor",MRCS,BBM Oxford Grad,bbm wharton,@GradoMean,Mean Mae Grado,,,01/22,19,0,,"Speaking of bagsak. Leni failed the bar exam twice. While SARAH and PRRD pasa agad Isang take lang. BBM got accepted sa Wharton Business School, walang bagsak na naaccept don.",,Text,01/03/2022 19:59,,,0,0,0,0,,,"It remains unclear as to how Bongbong Marcos go into Wharton without an undergraduate degree. However, evidence shows that he did not finish his studies in the aforementioned school. https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharton",,,,,,
43-7,20/02/2023 21:23:00,https://twitter.com/aquadegios/status/1455452684832575488?s=20,43,"Reyes, Victor",MRCS,BBM Oxford Grad,bbm wharton,@aquadegios,Zale Conway,,,05/18,813,142,Republic of the Philippines,The fact that BBM was admitted to Wharton is proof that he earned a degree from Oxford. Yun na lang.,,Text,02/11/2021 16:32,,,0,1,0,0,,,Oxford claims he did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
43-8,20/02/2023 21:23:00,https://twitter.com/rmel_twits/status/1490023322129633281?s=20,43,"Reyes, Victor",MRCS,BBM Oxford Grad,bbm wharton,@rmel_twits,rmel_twits,#AngatBuhay 💕💕💕,,05/10,256,83,,"He did not finish in Wharton, but he got into Wharton for masteral program. See basic requirement for Wharton MBA. I guess your proof na nilakad ni FEM si BBM sa Wharton is from a spin by PeraFiles. cRappler+PeraFile, how reliable. 😀😀😀",,"Text, Image",06/02/2022 02:03,,,0,1,0,0,,,"It remains unclear as to how Bongbong Marcos go into Wharton without an undergraduate degree. However, evidence shows that he did not finish his studies in the aforementioned school. https://verafiles.org/articles/documents-bongbong-marcos-university-education-part-2-wharton",,,,,,
43-9,20/02/2023 23:25:50,https://twitter.com/WinwinEklabu/status/1527386363708207104?s=20,43,"Solas, Rohan",MRCS,BBM Oxford Grad,bbm oxford (bongbong OR marcos),@WinwinEklabu,Mr.Winwin_Situation,"I am proud to be part of ""The 31 Million Strong""",Anonymous,12/15,6469,6983,"Metro Manila, Philippines","Facts about President elect Bongbong Marcos Jr. 
                   
1. Does BBM have a college degree? YES 
2. Is the SPECIAL DIPLOMA of BBM in social studies at Univ. of Oxford is a degree? YES 
3. Degree confirmation by Oxford? YES 
4. St Edmund hall pg.123 ""GRADUATE""category
https://issuu.com/stedmundhall/docs/st_edmund_hall_magazine_1996-97/1",,"Text, Image, URL",20/05/2022 04:31,https://drive.google.com/file/d/1rAaeAaKqNGEDF5FqMZsKW-Wncy2LpwhU/view?usp=share_link,Rational,924,86,341,50,,,"Image attached to the tweet actually contains graphic showing graduate degrees from 1996-1997 when Bongbong Marcos attended Oxford in 1975. Claim presented could easily trick people when the graphic isn't checked thoroughly

https://legacy.senate.gov.ph/senators/sen_bio/bmarcos_resume.asp ",,,,,,
43-10,26/03/2023 18:26:41,https://twitter.com/Roseann01734929/status/1454458243737022467,43,"Solas, Rohan",MRCS,BBM Oxford /Wharton Grad,bbm oxford,@Roseann01734929,Kim Yoona,I dont trust anymore,Anonymous,08/20,8,0,"Central Luzon, Philippines","Atleast si BBM nagka eskwela whartoon school of the university
University of Oxford 
Worth School
La salle Green School

At matalino sumagot Hindi lutang sumagot right",,"Text, Reply",30/10/2021 22:40,https://drive.google.com/file/d/1GINiBMwPmd-Vxk1zRgd2SAn39G_oR3n2/view?usp=share_link,Emotional,1,0,0,0,,,Oxford confirms that Bongbong Marcos did not complete his degree. https://www.theguardian.com/education/2022/may/16/ferdinand-marcos-jr-urged-to-stop-pretending-he-has-an-oxford-degree,,,,,,
